,Food,Measure,Grams,Calories,Protein,Carb,Fiber,Fat,Sat_fat,Product Type
203,"Dates,dried",1 cup,178,505,4,134,3.6,t,0,Fruits
204,"Figs, dried, large, 2"" by 1""",2,42,120,2,30,1.9,t,0,Fruits
205,"Fresh, raw",3 med.,114,90,2,22,1,t,0,Fruits
206,Stewed or canned,,,,,,,,,Fruits
207,with syrup,3,115,130,1,32,1,t,0,Fruits
208,"Fruit cocktail, canned",1 cup,256,195,1,50,0.5,t,0,Fruits
209,Fruits G-O,,,,,,,,,Fruits
210,Food,Measure,Grams,Calories,Protein,Carb,Fiber,Fat,Sat_fat,Fruits
211,"Grapefruit, canned",,,,,,,,,Fruits
212,sections,1 cup,250,170,1,44,0.5,t,0,Fruits
213,"Grapefruit, fresh,",,,,,,,,,Fruits
214,"5"" diameter",1/2,285,50,1,14,1,t,t,Fruits
215,Grapefruit juice,1 cup,250,100,1,24,1,t,0,Fruits
216,"Grapes,American, as",,,,,,,,,Fruits
217,Concord,1 cup,153,70,1,16,0.8,t,0,Fruits
218,"European, as Muscat, Tokay",1 cup,160,100,1,26,0.7,t,0,Fruits
219,"Grape juice, bottled",1 cup,250,160,1,42,t,t,0,Fruits
220,"Lemon juice, fresh",1/2 cup,125,30,t,10,t,t,0,Fruits
221,"Lemonade concentrate,",,,,,,,,,Fruits
222,frozen,6-oz. can,220,430,t,112,t,t,0,Fruits
223,Limeade concentrate,,,,,,,,,Fruits
224,frozen,6-oz. can,218,405,t,108,t,t,0,Fruits
225,"Olives, green, canned",,,,,,,,,Fruits
226,large,10,65,72,1,3,0.8,10,9,Fruits
227,"Ripe, canned, large",10,65,105,1,1,1,13,12,Fruits
228,"Oranges, fresh,",,,,,,,,,Fruits
229,"3"" diameter",1 med.,180,60,2,16,1,t,t,Fruits
230,"Orange juice, fresh",8 oz. or,250,112,2,25,0.2,t,0,Fruits
231,Frozenconcentrate,6-oz. can,210,330,2,78,0.4,t,t,Fruits
232,Fruits P-Z,,,,,,,,,Fruits
233,Food,Measure,Grams,Calories,Protein,Carb,Fiber,Fat,Sat_fat,Fruits
234,"Papaya, fresh",1/2 med.,200,75,1,18,1.8,t,0,Fruits
235,"Peaches, canned, sliced",1 cup,257,200,1,52,1,t,0,Fruits
236,"Fresh, raw",1 med.,114,35,1,10,0.6,t,0,Fruits
237,"Pears, canned, sweetened",1 cup,255,195,1,50,2,t,0,Fruits
238,"Raw, 3 by 2V",1 med.,182,100,1,25,2,1,0,Fruits
239,"Persimmons, Japanese",1 med.,125,75,1,20,2,t,0,Fruits
240,"Pineapple, canned, sliced",1 large slice,122,95,t,26,0.4,t,0,Fruits
241,Crushed,1 cup,260,205,1,55,0.7,t,0,Fruits
242,"Raw, diced",1 cup,140,75,1,19,0.6,t',0,Fruits
243,"Pineapple juice, canned",1 cup,250,120,1,32,0.2,t,0,Fruits
244,"Plums, canned in syrup",1 cup,256,185,1,50,0.7,t,0,Fruits
245,"Raw, 2"" diameter",1,60,30,t,7,0.2,t,0,Fruits
246,"Prunes, cooked",1 cup,270,300,3,81,0.8,1,0,Fruits
247,"Prune juice, canned*",1 cup,240,170,1,45,0.7,t,0,Fruits
248,"Raisins, dried",1/2 cup,88,230,2,82,0.7,t,0,Fruits
249,"Raspberries, frozen",1/2 cup,100,100,t,25,2,t,0,Fruits
250,"Raw, red",3/4 cup,100,57,t,14,5,t,0,Fruits
251,"Rhubarb, cooked,",,,,,,,,,Fruits
252,sweetened,1 cup,270,385,1,98,1.9,t,0,Fruits
253,"Strawberries, frozen",1 cup,227,242,1,60,1.3,t,0,Fruits
254,Raw,1 cup,149,54,t,12,1.9,t,0,Fruits
255,"Tangerines, fresh",I med.,114,40,1,10,1,t,0,Fruits
256,"Biscuits, 2 1/2"" diameters",1,38,130,3,18,t,4,3,"Breads, cereals, and grains"
257,Bran flakes,1 cup,25,117,3,32,0.10,t,0,"Breads, cereals, and grains"
258,"Bread, cracked wheat",1 slice,23,60,2,12,0.10,1,1,"Breads, cereals, and grains"
259,Rye,1 slice,23,55,2,12,0.10,1,1,"Breads, cereals, and grains"
260,"White, 20 slices, or",1-lb. loaf,454,"1,225",39,229,9.00,15,12,"Breads, cereals, and grains"
261,Whole-wheat,1-lb. loaf,454,"1,100",48,216,67.50,14,10,"Breads, cereals, and grains"
262,Whole-wheat,1 slice,23,55,2,11,0.31,1,0,"Breads, cereals, and grains"
263,Corn breadof whole,,,,,,,,,"Breads, cereals, and grains"
264,ground meal,1 serving,50,100,3,15,0.30,4,2,"Breads, cereals, and grains"
265,Cornflakes,1 cup,25,110,2,25,0.1,t,0,"Breads, cereals, and grains"
266,"Corn grits, refined,",,,,,,,,,"Breads, cereals, and grains"
267,cooked,1 cup,242,120,8,27,0.2,t,0,"Breads, cereals, and grains"
268,"Corn meal, yellow",1 cup,118,360,9,74,1.6,4,2,"Breads, cereals, and grains"
269,"Crackers, graham",2 med.,14,55,1,10,t,1,0,"Breads, cereals, and grains"
270,"Soda, 2 1/2 square",2,11,45,1,8,t,1,0,"Breads, cereals, and grains"
271,Farina,1 cup,238,105,3,22,8,t,0,"Breads, cereals, and grains"
272,"Flour,soy, full fat",1 cup,110,460,39,33,2.9,22,0,"Breads, cereals, and grains"
273,Wheat (all purpose),1 cup,110,400,12,84,0.3,1,0,"Breads, cereals, and grains"
274,Wheat (whole),1 cup,120,390,13,79,2.8,2,0,"Breads, cereals, and grains"
275,"Macaroni, cooked",1 cup,140,155,5,32,0.1,1,0,"Breads, cereals, and grains"
276,Baked with cheese,1 cup,220,475,18,44,t,25,24,"Breads, cereals, and grains"
277,Muffinsofrefined flour,1,48,135,4,19,t,5,4,"Breads, cereals, and grains"
278,Noodles,1 cup,160,200,7,37,0.1,2,2,"Breads, cereals, and grains"
279,"Oatmeal, orrolled oats",1 cup,236,150,5,26,4.6,3,2,"Breads, cereals, and grains"
280,"Breads, cereals, and grains P-Z",,,,,,,,,"Breads, cereals, and grains"
281,Food,Measure,Grams,Calories,Protein,Carb,Fiber,Fat,Sat_fat,"Breads, cereals, and grains"
282,"Pancakes, buckwheat,",,,,,,,,,"Breads, cereals, and grains"
283,"4"" diam.",4,108,250,7,28,0.1,9,0,"Breads, cereals, and grains"
284,"Wheat,refined flour,",,,,,,,,,"Breads, cereals, and grains"
285,"4"" diam.",4,108,250,7,28,0.1,9,0,"Breads, cereals, and grains"
286,"Pizza,cheese, 1/8 of",,,,,,,,,"Breads, cereals, and grains"
287,"14"" diam.",1 section,75,180,8,23,t,6,5,"Breads, cereals, and grains"
288,"Popcorn, withoiland",,,,,,,,,"Breads, cereals, and grains"
289,salt,2 cups,28,152,3,20,0.5,7,2,"Breads, cereals, and grains"
290,Puffed rice,1 cup,14,55,t,12,t,t,0,"Breads, cereals, and grains"
291,"Puffed wheat,",,,,,,,,,"Breads, cereals, and grains"
292,presweetened,1 cup,28,105,1,26,0.6,t,0,"Breads, cereals, and grains"
293,"Rice, uncooked, brown",1 cup,208,748,15,154,1.2,3,0,"Breads, cereals, and grains"
294,Converted,1 cup,187,677,14,142,0.4,t,0,"Breads, cereals, and grains"
295,White,1 cup,191,692,4.2,150,0.3,t,0,"Breads, cereals, and grains"
296,Rice flakes,1 cup,30,115,2,26,0.1,t,0,"Breads, cereals, and grains"
297,Rice polish,1/2 cup,50,132,6,28,1.2,6,0,"Breads, cereals, and grains"
298,"Rolls, breakfast, sweet",1 large,50,411,3,23,0.1,12,11,"Breads, cereals, and grains"
299,of refined flour,1,38,115,3,20,t,2,2,"Breads, cereals, and grains"
300,whole-wheat,1,40,102,4,20,0.1,1,0,"Breads, cereals, and grains"
301,Spaghetti with meat sauce,1 cup,250,285,13,35,0.50,10,6,"Breads, cereals, and grains"
302,with tomatoes and cheese,1 cup,250,210,6,36,0.50,5,3,"Breads, cereals, and grains"
303,Spanish ricewith meat,1 cup,250,217,4,40,1.20,4,0,"Breads, cereals, and grains"
304,Shredded wheat biscuit,1,28,100,3,23,0.70,1,0,"Breads, cereals, and grains"
305,"Waffles, 1/2"" x 4 1/2"" x 5 1/2""",1,75,240,8,30,0.10,9,1,"Breads, cereals, and grains"
306,Wheat germ,1 cup,68,245,17,34,2.50,7,3,"Breads, cereals, and grains"
307,"Wheat-germ cereal,",,,,,,,,,"Breads, cereals, and grains"
308,toasted,1 cup,65,260,20,36,2.50,7,3,"Breads, cereals, and grains"
309,"Wheat-meal cereal,",,,,,,,,,"Breads, cereals, and grains"
310,unrefined,3/4 cup,30,103,4,25,0.70,1,0,"Breads, cereals, and grains"
311,"Wheat,unground,",,,,,,,,,"Breads, cereals, and grains"
312,Bean soups,1 cup,250,190,8,30,0.60,5,4,Soups: canned and diluted
313,Beefand vegetable,1 cup,250,100,6,11,0.50,4,4,Soups: canned and diluted
314,"Bouillon,broth,consommé",1 cup,240,24,5,0,0,0,0,Soups: canned and diluted
315,chickenorturkey,1 cup,250,75,4,10,0,2,2,Soups: canned and diluted
316,"Clam chowder, without milk",1 cup,255,85,5,12,0.50,2,8,Soups: canned and diluted
317,"Cream soups(asparagus,celery, etc.)",1 cup,255,200,7,18,1.20,12,11,Soups: canned and diluted
318,"Noodle,rice,barley",1 cup,250,115,6,13,0.20,4,3,Soups: canned and diluted
319,Split-pea soup,1 cup,250,147,8,25,0.50,3,3,Soups: canned and diluted
320,"Tomato soup, diluted w/milk",1 cup,245,175,6,22,0.50,7,6,Soups: canned and diluted
321,Apple betty,1 serving,100,150,1,29,0.5,4,0,Desserts and sweets
322,Bread puddingwithraisins,3/4 cup,200,374,11,56,0.20,12,11,Desserts and sweets
323,"Cakes,angel food",1 slice,40,110,3,23,0,t,0,Desserts and sweets
324,Chocolate fudgew/icing,1 slice,120,420,5,70,0.3,14,12,Desserts and sweets
325,Cupcakewith icing,1,50,160,3,31,t,3,2,Desserts and sweets
326,"Fruit cake, 2"" x 2"" x 4""",1 slice,30,105,2,17,0.2,4,3,Desserts and sweets
327,"Gingerbread, 2"" cube",1 slice,55,180,2,28,t,7,6,Desserts and sweets
328,"Plain, with no icing",1 slice,55,180,4,31,t,5,4,Desserts and sweets
329,"Sponge cake, no icing",1 slice,40,115,3,22,0,2,2,Desserts and sweets
330,"Candy,caramels",5,25,104,t,19,0,3,3,Desserts and sweets
331,Chocolate creams,2,30,130,t,24,0,4,4,Desserts and sweets
332,"Fudge, plain, 1"" x 1""",2 pieces,90,370,t,80,0.1,12,11,Desserts and sweets
333,Hard candies,1 oz.,28,90,t,28,0,0,0,Desserts and sweets
334,"Marshmallows, large",5,30,98,1,23,0,0,0,Desserts and sweets
335,Milk chocolate,2-oz. bar,56,290,2,44,0.2,6,6,Desserts and sweets
336,Chocolate syrup,2 T.,40,80,t,22,0,t,t,Desserts and sweets
337,"Doughnuts,cake type",1,33,135,2,17,t,7,4,Desserts and sweets
338,"Gelatin, made with water",1 cup,239,155,4,36,0,t,t,Desserts and sweets
339,"Honey,strained honey, strained",2 T.,42,120,t,30,0,0,0,Desserts and sweets
340,"Ice cream, see",,,,,,,,,Desserts and sweets
341,Dairy products,,,,,,,,,Desserts and sweets
342,"Ices,lime,orange, etc.",1 cup,150,117,0,48,0,0,0,Desserts and sweets
343,"Jams,marmalades,",,,,,,,,,Desserts and sweets
344,preserves,1 T.,20,55,0,14,t,0,0,Desserts and sweets
345,Jellies,1 T.,20,50,0,13,0,0,0,Desserts and sweets
346,"Molasses,blackstrap",1 T.,20,45,0,11,8,0,0,Desserts and sweets
347,"Cane, refined",1 T.,20,50,0,13,0,0,0,Desserts and sweets
348,"Pie, apple, 1/2 of",,,,,,,,,Desserts and sweets
349,"9"" diam. pie",1 slice,135,330,3,53,0.1,13,11,Desserts and sweets
350,Cherry,1 slice,135,340,3,55,0.1,13,11,Desserts and sweets
351,Custard,1 slice,130,265,7,34,0,11,10,Desserts and sweets
352,Lemon meringue,1 slice,120,300,4,45,0.1,12,10,Desserts and sweets
353,Mince,1 slice,135,340,3,62,0.70,9,8,Desserts and sweets
354,Pumpkin,1 slice,130,265,5,34,8,12,11,Desserts and sweets
355,Puddings(seeDairy products),,,,,,,,,Desserts and sweets
356,"Sugar,beetorcane",1 cup,200,770,0,199,0,0,0,Desserts and sweets
357,3 teaspoons or,1 T.,12,50,0,12,0,0,0,Desserts and sweets
358,"Brown, firm-packed, dark",1 cup,220,815,0,210,0,,0,Desserts and sweets
359,"Syrup,maple",2 T.,40,100,0,25,0,0,0,Desserts and sweets
360,table blends,2 T.,40,110,0,29,0,0,0,Desserts and sweets
361,"Almonds, dried",1/2 cup,70,425,13,13,1.8,38,28,Nuts and seeds
362,roasted and salted,1/2 cup,70,439,13,13,1.8,40,31,Nuts and seeds
363,Brazil nuts;unsalted,1/2 cup,70,457,10,7,2,47,31,Nuts and seeds
364,"Cashews, unsalted",1/2 cup,70,392,12,20,0.9,32,28,Nuts and seeds
365,"Coconut, shredded,",,,,,,,,,Nuts and seeds
366,sweetened,1/2 cup,50,274,1,26,2,20,19,Nuts and seeds
367,"Peanut butter, commercial",1/3 cup,50,300,12,9,0.9,25,17,Nuts and seeds
368,"Peanut butter, natural",1/3 cup,50,284,13,8,0.9,24,10,Nuts and seeds
369,"Peanuts, roasted",1/3 cup,50,290,13,9,1.2,25,16,Nuts and seeds
370,"Pecans, raw, halves",1/2 cup,52,343,5,7,1.1,35,25,Nuts and seeds
371,"Sesame seeds, dry",1/2 cup,50,280,9,10,3.1,24,13,Nuts and seeds
372,Sunflower seeds,1/2 cup,50,280,12,10,1.9,26,7,Nuts and seeds
373,Alcoholic,,,,,,,,,Beverages
374,Beer(4% alcohol),2 cups,480,228,t,8,0,0,0,Beverages
375,"Gin,rum,vodka,whiskey(86 proof)",1 oz.,28,70,0,t,0,0,0,Beverages
376,"Wines,dessert(I 8.8% alcohol)",1/2 cup,120,164,t,9,0,0,0,Beverages
377,Table (12.2% alcohol),1/2 cup,120,100,t,5,0,0,0,Beverages
378,Carbonated drinks,,,,,,,,,Beverages
379,Artificially sweetened,12 oz.,346,0,0,0,0,0,0,Beverages
380,Club soda,12 oz.,346,0,0,0,0,0,0,Beverages
381,"Cola drinks,sweetened",12 oz.,346,137,0,38,0,0,0,Beverages
382,Fruit-flavored soda,12 oz.,346,161,0,42,0,0,0,Beverages
383,Ginger ale,12 oz.,346,105,0,28,0,0,0,Beverages
384,Root beer,12 oz.,346,140,0,35,0,0,0,Beverages
385,"Coffee, black, unsweetened",1 cup,230,3,t,1,0,0,0,Beverages
